,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
100,Port Moresby,40,PG,1592697263,78,-9.44,147.18,82.66999999999996,7.7
101,Fortuna,20,US,1592696984,77,40.6,-124.16,72.26600000000002,7.2
102,Altamira,38,BR,1592697263,81,-3.2,-52.21,75.68599999999998,1.09
103,Fuyu,75,CN,1592697263,69,45.18,124.82,74.04800000000003,2.97
104,Mâncio Lima,92,BR,1592697263,96,-7.61,-72.9,73.72400000000002,0.93
105,Kochki,0,RU,1592697263,85,54.34,80.48,44.63599999999997,2.2
106,Lebu,27,CL,1592697021,84,-37.62,-73.65,51.02599999999999,2.53
107,Labuhan,39,ID,1592696990,80,-6.88,112.21,78.674,4.5
108,Kavaratti,99,IN,1592696993,75,10.57,72.64,84.45199999999997,8.0
109,Ilulissat,42,GL,1592697004,65,69.22,-51.1,44.86999999999996,1.5
110,Tiksi,0,RU,1592696985,35,71.69,128.87,67.13599999999997,1.21
111,Grand Gaube,78,MU,1592697022,87,-20.01,57.66,69.27799999999996,3.13
112,Svetlaya,96,RU,1592697029,65,46.54,138.33,54.842,2.42
113,Saskylakh,100,RU,1592697017,37,71.92,114.08,78.42200000000004,0.67
114,San Patricio,40,MX,1592696727,79,19.22,-104.7,86.26999999999995,4.1
115,Sabha,0,LY,1592697264,12,27.04,14.43,88.934,3.64
116,Goundam,55,ML,1592697264,31,16.41,-3.67,93.18200000000002,5.11
117,Hithadhoo,98,MV,1592696724,72,-0.6,73.08,83.26400000000004,2.82
118,Barabai,41,ID,1592697080,83,-2.58,115.38,78.08000000000004,0.48
119,Kungurtug,96,RU,1592697265,75,50.6,97.52,55.38200000000002,1.15
120,Ribeira Grande,12,PT,1592696983,92,38.52,-28.7,65.91199999999995,4.47
121,Puerto Escondido,90,MX,1592697004,74,15.85,-97.07,84.46999999999997,1.94
122,Laiyang,0,CN,1592697265,68,36.98,120.71,79.26799999999999,0.45
123,General Pico,100,AR,1592697265,57,-35.66,-63.76,51.58399999999999,2.06
124,Isangel,20,VU,1592697033,61,-19.55,169.27,80.86999999999996,6.52
125,São João da Barra,0,BR,1592696986,89,-21.64,-41.05,73.52599999999998,5.11
126,George Town,20,MY,1592696733,94,5.41,100.34,80.86999999999996,2.31
127,Husavik,20,IS,1592697265,62,66.04,-17.34,59.26999999999996,7.2
128,Karera,86,IN,1592697266,49,25.47,78.15,89.15,3.65
129,Grindavik,75,IS,1592696980,87,63.84,-22.43,52.069999999999965,6.7
130,Vila,66,PT,1592697266,86,42.03,-8.16,55.274000000000015,0.58
131,Makakilo City,75,US,1592697016,57,21.35,-158.09,86.26999999999995,5.1
132,Bambous Virieux,40,MU,1592696978,88,-20.34,57.76,70.06999999999996,6.2
133,Bredasdorp,30,ZA,1592696871,93,-34.53,20.04,53.86999999999996,2.54
134,Novouzensk,4,RU,1592697266,58,50.46,48.14,66.55999999999997,4.14
135,Santa María Visitación,75,GT,1592697266,74,14.72,-91.32,86.26999999999995,3.1
136,Malanje,0,AO,1592697266,39,-9.54,16.34,56.24600000000005,1.07
137,Jamestown,40,US,1592696875,64,42.1,-79.24,77.26999999999995,1.45
138,Marabu,75,MY,1592697105,100,4.41,114.01,77.26999999999995,1.5
139,Beringovskiy,13,RU,1592696999,64,63.05,179.32,45.211999999999954,3.53
140,Port Blair,94,IN,1592696733,83,11.67,92.75,82.77799999999996,4.82
141,Salalah,75,OM,1592697036,100,17.02,54.09,80.86999999999996,1.0
142,Shirokiy,100,RU,1592697267,96,49.76,129.52,54.03200000000002,5.24
143,Beli Manastir,79,HR,1592697267,93,45.77,18.6,59.26999999999996,6.2
144,Mehamn,0,NO,1592697046,75,71.04,27.85,46.274000000000015,1.22
145,Heihe,75,CN,1592697267,100,50.24,127.49,55.66999999999996,7.0
146,Zhangjiakou Shi Xuanhua Qu,0,CN,1592697267,50,40.61,115.04,77.576,1.86
147,Kaniama,2,CD,1592697268,54,-7.57,24.18,63.877999999999965,1.52
148,Quelimane,15,MZ,1592697198,95,-17.88,36.89,63.28399999999999,1.87
149,Reconquista,80,AR,1592697026,64,-29.15,-59.65,77.30600000000004,4.12
150,Show Low,1,US,1592697268,6,34.25,-110.03,84.46999999999997,6.7
151,Cherskiy,98,RU,1592697003,22,68.75,161.3,83.60600000000002,3.47
152,Touros,20,BR,1592696876,88,-5.2,-35.46,73.66999999999996,2.1
153,Cortez,1,US,1592697268,9,37.35,-108.59,84.46999999999997,4.1
154,Tura,8,IN,1592697004,95,25.52,90.22,75.12799999999996,2.17
155,Mar del Plata,100,AR,1592697002,93,-38.0,-57.56,53.27599999999999,2.44
156,Longyearbyen,75,SJ,1592696949,86,78.22,15.64,37.66999999999996,7.2
157,Skellefteå,1,SE,1592697269,93,64.75,20.95,51.27799999999996,1.5
158,Tuatapere,35,NZ,1592697040,83,-46.13,167.68,39.272000000000034,1.34
159,Jablah,20,SY,1592697269,88,35.36,35.93,70.06999999999996,3.1
160,Jacareacanga,49,BR,1592697025,63,-6.22,-57.75,81.01400000000004,0.85
161,Chul'man,38,RU,1592697269,61,56.85,124.91,63.446000000000055,0.24
162,Pervoye Maya,40,RU,1592697269,62,56.16,44.72,55.66999999999996,4.0
163,Lompoc,10,US,1592697021,72,34.64,-120.46,66.27200000000005,6.7
164,Methóni,0,GR,1592697038,63,36.82,21.7,73.27400000000002,8.34
165,Zhangjiakou,0,CN,1592697269,51,40.81,114.88,75.434,1.8
166,Orlik,99,RU,1592697270,63,52.52,99.83,57.01999999999996,0.57
167,Troitsko-Pechorsk,100,RU,1592697270,92,62.71,56.2,43.25,5.59
168,Bengkulu,100,ID,1592696990,87,-3.8,102.27,75.63200000000002,1.61
169,Pisco,20,PE,1592696917,77,-13.7,-76.22,64.66999999999996,2.1
